,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
5464,2014,12/2014,MGB,MGB-L3,2497,2497,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C412,DEFEITO EM CONEXÃO,3.0,1.0,0.0
5465,2012,08/2012,MGB,MGB-L3,1977,2498,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C392,DEFEITO EM JUMPER/CO,19.17972,84.0,0.22833
5466,2013,04/2013,MGB,MGB-L3,1977,2498,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,6.99972,84.0,0.08333
5467,2013,04/2013,MGB,MGB-L3,1977,2498,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C195,VAZAMENTO DE ÓLEO / ,10.33704,84.0,0.12306
5468,2013,08/2013,MGB,MGB-L3,1977,2498,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,226.33602,83.0,2.72694
5469,2014,06/2014,MGB,MGB-L3,1977,2498,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,77.28213,83.0,0.93111
5470,2012,02/2012,MGB,MGB-L3,2499,2499,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,1546.78293,121.0,12.783330000000001
5471,2012,03/2012,MGB,MGB-L3,2499,2499,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,3.0,1.0,0.0
5472,2012,08/2012,MGB,MGB-L3,2499,2499,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C392,DEFEITO EM JUMPER/CO,28.08459,123.0,0.22832999999999998
5473,2012,11/2012,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,86.8,124.0,0.7
5474,2012,12/2012,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,3.0,1.0,0.0
5475,2013,04/2013,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,10.66624,128.0,0.08333
5476,2013,04/2013,MGB,MGB-L3,2499,2499,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C195,VAZAMENTO DE ÓLEO / ,15.75168,128.0,0.12306
5477,2013,07/2013,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,309.33376,128.0,2.41667
5478,2013,08/2013,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,349.04832,128.0,2.72694
5479,2014,01/2014,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,81.25,125.0,0.65
5480,2014,06/2014,MGB,MGB-L3,2499,2499,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,112.66431,121.0,0.93111
5481,2014,12/2014,MGB,MGB-L3,2499,2499,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C195,VAZAMENTO DE ÓLEO / ,6.06669,7.0,0.86667
5482,2012,07/2012,CPX,CPX-L1,2505,2505,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C287,PARTIDO NA CONEXÃO,1.58222,4.0,0.395555
5483,2012,07/2012,CPX,CPX-L1,2505,2505,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,2.98112,2.0,1.49056
5484,2012,08/2012,CPX,CPX-L1,2505,2505,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,0.91612,2.0,0.45806
5485,2012,08/2012,CPX,CPX-L1,2505,2505,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C271,PARTIDO NA FASE,9.13334,2.0,4.56667
5486,2012,09/2012,CPX,CPX-L1,2505,2505,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C287,PARTIDO NA CONEXÃO,3.0,1.0,0.0
5487,2012,09/2012,CPX,CPX-L1,2505,2505,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,3.0,1.0,0.0
5488,2012,09/2012,CPX,CPX-L1,2505,2505,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C080,FALHA EM CHAVE SECCI,3.0,1.0,0.0
5489,2012,09/2012,CPX,CPX-L1,2505,2505,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C271,PARTIDO NA FASE,3.0,1.0,0.0
5490,2013,02/2013,CPX,CPX-L1,2505,2505,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,5.25778,4.0,1.314445
5491,2013,10/2013,CPX,CPX-L1,2505,2505,75.0,3,SUBESTAÇÃO NÃO PROGRAMADA,C073,FALHA DE CONEXÃO,0.09806,1.0,0.09806
5492,2013,11/2013,CPX,CPX-L1,2505,2505,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C432,DEFEITO NA CHAVE,0.17722,1.0,0.17722
5493,2014,08/2014,CPX,CPX-L1,-1,2505,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,3.3,1.0,3.3
5494,2012,07/2012,TBU,TBU-L5,2506,2506,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,8.58719,29.0,0.29611
5495,2013,07/2013,TBU,TBU-L5,2506,2506,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,28.33126,29.0,0.97694
5496,2013,07/2013,TBU,TBU-L5,2506,2506,112.5,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,50.41157,58.0,0.869165
5497,2012,08/2012,TBU,TBU-L2,0230,2523,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,0.92,16.0,0.0575
5498,2013,07/2013,TBU,TBU-L2,0230,2523,112.5,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,14.68,16.0,0.9175
5499,2014,02/2014,TBU,TBU-L2,0230,2523,112.5,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C444,DEFEITO NA CHAVE,3.32896,16.0,0.20806
5500,2014,03/2014,TBU,TBU-L2,0230,2523,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C272,DESNIVELADO,5.6,16.0,0.35
