,Ano Evento,Mês Evento,Subestação Hier.Geoelétrica,Alimentador Hier.Geoelétrica,Bloco Alimentador Hier.Geoelétrica,Transformador Hier.Geoelétrica,Pot,Cod Grupo Causa GPO,Grupo Causa GPO,Cod Causa Evento,Causa Evento,DIC Transformador,FIC Transformador,Duração
6588,2014,03/2014,MGB,MGB-L4,18172,4634,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C279,PRESTES A SE ROMPER,250.0002,60.0,4.16667
6589,2014,10/2014,MGB,MGB-L4,18172,4634,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,64.8666,60.0,1.08111
6590,2012,04/2012,MGB,MGB-L4,18172,4635,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,64.08204,43.0,1.49028
6591,2012,05/2012,MGB,MGB-L4,18172,4635,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,54.5025,43.0,1.2674999999999998
6592,2012,05/2012,MGB,MGB-L4,18172,4635,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C393,PORTA-FUSIVEL DANIFI,100.50046,43.0,2.3372200000000003
6593,2013,03/2013,MGB,MGB-L4,18172,4635,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C323,CABOS LIGAÇÃO DO TRA,21.14991,27.0,0.78333
6594,2013,06/2013,MGB,MGB-L4,18172,4635,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,56.7,42.0,1.35
6595,2013,07/2013,MGB,MGB-L4,18172,4635,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,66.91986,42.0,1.59333
6596,2014,10/2014,MGB,MGB-L4,18172,4635,75.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,48.64995,45.0,1.08111
6597,2012,04/2012,MGB,MGB-L4,8887,4636,150.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,7.4514,5.0,1.4902799999999998
6598,2012,05/2012,MGB,MGB-L4,8887,4636,150.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,6.3375,5.0,1.2675
6599,2013,06/2013,MGB,MGB-L4,8887,4636,150.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,86.4,64.0,1.35
6600,2013,07/2013,MGB,MGB-L4,8887,4636,150.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,109.93977,69.0,1.59333
6601,2014,10/2014,MGB,MGB-L4,69184,4636,150.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,88.65102,82.0,1.08111
6602,2012,04/2012,MGB,MGB-L4,4637,4637,30.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,1.49028,1.0,1.49028
6603,2012,05/2012,MGB,MGB-L4,4637,4637,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,1.2675,1.0,1.2675
6604,2013,02/2013,MGB,MGB-L4,4637,4637,30.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C397,FERRAGENS FOLGADAS/D,3.78333,1.0,3.78333
6605,2013,06/2013,MGB,MGB-L4,4637,4637,30.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,1.35,1.0,1.35
6606,2013,07/2013,MGB,MGB-L4,4637,4637,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,1.59333,1.0,1.59333
6607,2014,07/2014,MGB,MGB-L4,4637,4637,30.0,13,DISTRIBUIÇÃO NÃO PROGRAMADA - FENOMENOS NATURAIS,C296,SALINIDADE,1.63333,1.0,1.63333
6608,2014,10/2014,MGB,MGB-L4,4637,4637,30.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,1.08111,1.0,1.08111
6609,2012,04/2012,MGB,MGB-L4,4638,4638,225.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,1.49028,1.0,1.49028
6610,2012,05/2012,MGB,MGB-L4,4638,4638,225.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,1.2675,1.0,1.2675
6611,2013,06/2013,MGB,MGB-L4,4638,4638,225.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C224,ISOLADOR SUSPENSÃO D,1.35,1.0,1.35
6612,2013,07/2013,MGB,MGB-L4,4638,4638,225.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,1.59333,1.0,1.59333
6613,2014,10/2014,MGB,MGB-L4,4638,4638,225.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,1.08111,1.0,1.08111
6614,2012,07/2012,TBU,TBU-L5,100072,4640,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,286.19636,92.0,3.1108300000000004
6615,2012,08/2012,TBU,TBU-L5,100072,4640,112.5,13,DISTRIBUIÇÃO NÃO PROGRAMADA - FENOMENOS NATURAIS,C293,INUNDAÇÃO,84.05212,92.0,0.91361
6616,2013,07/2013,TBU,TBU-L5,100072,4640,112.5,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,87.9246,90.0,0.97694
6617,2013,07/2013,TBU,TBU-L5,100072,4640,112.5,3,SUBESTAÇÃO NÃO PROGRAMADA,C071,FALHA EM DISJUNTOR,156.4497,180.0,0.8691650000000001
6618,2013,12/2013,TBU,TBU-L5,100072,4640,112.5,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C278,PARTIDO NA CONEXÃO,46.0,92.0,0.5
6619,2014,01/2014,TBU,TBU-L5,100072,4640,112.5,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C279,PRESTES A SE ROMPER,72.06636,92.0,0.7833300000000001
6620,2012,04/2012,MGB,MGB-L4,-1,4641,30.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,1.49028,1.0,1.49028
6621,2012,05/2012,MGB,MGB-L4,-1,4641,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,2.49306,2.0,1.24653
6622,2012,07/2012,MGB,MGB-L4,-1,4641,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,2.04056,1.0,2.04056
6623,2013,07/2013,TBU,TBU-L5,4641,4641,30.0,12,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM ISOLADOR,C222,ISOLADOR PINO DANIFI,0.43861,1.0,0.43861
6624,2013,10/2013,TBU,TBU-L5,4641,4641,30.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C287,PARTIDO NA CONEXÃO,1.24722,1.0,1.24722
6625,2013,11/2013,TBU,TBU-L5,4641,4641,30.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,0.08389,1.0,0.08389
6626,2014,04/2014,TBU,TBU-L5,4641,4641,30.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C444,DEFEITO NA CHAVE,1.44167,1.0,1.44167
6627,2012,04/2012,MGB,MGB-L4,-1,4642,75.0,9,DISTRIBUIÇÃO NÃO PROGRAMADA - CABO PARTIDO OU DETERIORADO,C281,PARTIDO NA FASE,140.08632,94.0,1.49028
6628,2012,05/2012,MGB,MGB-L4,-1,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C285,PARTIDO NA EMENDA,236.8407,190.0,1.24653
6629,2012,06/2012,MGB,MGB-L4,-1,4642,75.0,11,DISTRIBUIÇÃO NÃO PROGRAMADA - FALHA EM EQUIPAMENTO (LINHA / REDE),C394,DESARME POR DESREGUL,44.4,37.0,1.2
6630,2012,07/2012,MGB,MGB-L4,-1,4642,75.0,10,DISTRIBUIÇÃO NÃO PROGRAMADA - DEFEITO EM CONEXÃO,C325,JUMPER AT,265.1032,190.0,1.39528
